Date,Day,Time,Description
04-20-24,Saturday,5:00PM,Haircut
04-21-24,Sunday,3:00PM,Visit family
04-22-24,Monday,7:00PM,Work (evening shift)
04-23-24,Tuesday,6:00PM,Soccer practice
04-24-24,Wednesday,9:00AM,Doctor's appointment
04-25-24,Thursday,6:00PM,Dinner with friends
04-26-24,Friday,8:00PM,Movie night
04-27-24,Saturday,10:00AM,Community Service
04-28-24,Sunday,11:00AM,Brunch with family
04-29-24,Monday,3:00PM,Dentist appointment
04-30-24,Tuesday,7:00PM,Work (evening shift)
05-01-24,Wednesday,4:00PM,Study group
05-02-24,Thursday,5:00PM,Yoga class
05-03-24,Friday,6:00PM,Dinner date
